Flight No.,Date,Time,Launch site,Payload mass,Orbit,Customer,Payload,Launch outcome,Version Booster,Booster landing
1,4 June 2010,18:45,CCAFS,Unknown,LEO,SpaceX,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.07B0003.18,Failure
2,8 December 2010,15:43,CCAFS,Unknown,LEO,NASA,Dragon,Success,F9 v1.07B0004.18,Failure
3,22 May 2012,07:44,CCAFS,525 kg,LEO,NASA,Dragon,Success,F9 v1.07B0005.18,"No attempt
"
4,8 October 2012,00:35,CCAFS,"4,700 kg",LEO,NASA,SpaceX CRS-1,"Success
",F9 v1.07B0006.18,No attempt
5,1 March 2013,15:10,CCAFS,"4,877 kg",LEO,NASA,SpaceX CRS-2,"Success
",F9 v1.07B0007.18,"No attempt
"
6,29 September 2013,16:00,VAFB,500 kg,Polar orbit,MDA,CASSIOPE,Success,F9 v1.17B10038,Uncontrolled
7,3 December 2013,22:41,CCAFS,"3,170 kg",GTO,SES,SES-8,Success,F9 v1.1,No attempt
8,6 January 2014,22:06,CCAFS,"3,325 kg",GTO,Thaicom,Thaicom 6,Success,F9 v1.1,No attempt
9,18 April 2014,19:25,Cape Canaveral,"2,296 kg",LEO,NASA,SpaceX CRS-3,"Success
",F9 v1.1,Controlled
10,14 July 2014,15:15,Cape Canaveral,"1,316 kg",LEO,Orbcomm,Orbcomm-OG2,Success,F9 v1.1,Controlled
11,5 August 2014,08:00,Cape Canaveral,"4,535 kg",GTO,AsiaSat,AsiaSat 8,Success,F9 v1.1,No attempt
12,7 September 2014,05:00,Cape Canaveral,"4,428 kg",GTO,AsiaSat,AsiaSat 6,Success,F9 v1.1[,"No attempt
"
13,21 September 2014,05:52,Cape Canaveral,"2,216 kg",LEO,NASA,SpaceX CRS-4,Success,F9 v1.1[,Uncontrolled
14,10 January 2015,09:47,Cape Canaveral,"2,395 kg",LEO,NASA,SpaceX CRS-5,Success,F9 v1.1[,Failure 
15,11 February 2015,23:03,Cape Canaveral,570 kg,HEO,USAF,DSCOVR,"Success
",F9 v1.1[,Controlled
16,2 March 2015,03:50,Cape Canaveral,"4,159 kg",GTO,ABS,ABS-3A,"Success
",F9 v1.1[,No attempt
17,14 April 2015,20:10,Cape Canaveral,"1,898 kg",LEO,NASA,SpaceX CRS-6,"Success
",F9 v1.1[,Failure
19,28 June 2015,14:21,Cape Canaveral,"1,952 kg",LEO,NASA,SpaceX CRS-7,Failure,F9 v1.1[,Precluded
20,22 December 2015,01:29,Cape Canaveral,"2,034 kg",LEO,Orbcomm,Orbcomm-OG2,"Success
",F9 FT[,Success
21,17 January 2016,18:42,VAFB,553 kg,LEO,NASA,Jason-3,"Success
",F9 v1.1[,Failure
22,4 March 2016,23:35,Cape Canaveral,"5,271 kg",GTO,SES,SES-9,"Success
",F9 FT[,Failure
23,8 April 2016,20:43,Cape Canaveral,"3,136 kg",LEO,NASA,SpaceX CRS-8,Success,F9 FT[,Success
24,6 May 2016,05:21,Cape Canaveral,"4,696 kg",GTO,SKY Perfect JSAT Group,JCSAT-14,"Success
",F9 FT[,Success
25,27 May 2016,21:39,Cape Canaveral,"3,100 kg",GTO,Thaicom,Thaicom 8,"Success
",F9 FT[,Success
26,15 June 2016,14:29,Cape Canaveral,"3,600 kg",GTO,ABS,ABS-2A,"Success
",F9 FT[,Failure
27,18 July 2016,04:45,Cape Canaveral,"2,257 kg",LEO,NASA,SpaceX CRS-9,"Success
",F9 FT[,Success
28,14 August 2016,05:26,Cape Canaveral,"4,600 kg",GTO,SKY Perfect JSAT Group,JCSAT-16,"Success
",F9 FT[,Success
29,14 January 2017,17:54,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,"Success
",F9 FT[,Success
30,19 February 2017,14:39,KSC,"2,490 kg",LEO,NASA,SpaceX CRS-10,"Success
",F9 FT[,Success
31,16 March 2017,06:00,KSC,"5,600 kg",GTO,EchoStar,EchoStar 23,"Success
",F9 FT[,No attempt
32,30 March 2017,22:27,KSC,"5,300 kg",GTO,SES,SES-10,Success,F9 FT♺[,Success
33,1 May 2017,11:15,KSC,C,LEO,NRO,NROL-76,"Success
",F9 FT[,Success
34,15 May 2017,23:21,KSC,"6,070 kg",GTO,Inmarsat,Inmarsat-5 F4,"Success
",F9 FT[,No attempt
35,3 June 2017,21:07,KSC,"2,708 kg",LEO,NASA,SpaceX CRS-11,"Success
",F9 FT[,Success
36,23 June 2017,19:10,KSC,"3,669 kg",GTO,Bulsatcom,BulgariaSat-1,"Success
",F9 FTB1029.2195,Success
37,25 June 2017,20:25,VAFB,"9,600 kg",LEO,Iridium Communications,Iridium NEXT,"Success
",F9 FT[,Success
38,5 July 2017,23:38,KSC,"6,761 kg",GTO,Intelsat,Intelsat 35e,"Success
",F9 FT[,No attempt
39,14 August 2017,16:31,KSC,"3,310 kg",LEO,NASA,SpaceX CRS-12,"Success
",F9 B4[,Success
40,24 August 2017,18:51,VAFB,475 kg,SSO,NSPO,Formosat-5,"Success
",F9 FT[,Success
41,7 September 2017,14:00,KSC,"4,990 kg",LEO,USAF,Boeing X-37B,"Success
",F9 B4[,Success
42,9 October 2017,12:37,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,"Success
",F9 B4[,Success
43,11 October 2017,22:53:00,KSC,"5,200 kg",GTO,SES S.A.,SES-11,"Success
",F9 FTB1031.2220,Success
44,30 October 2017,19:34,KSC,"3,500 kg",GTO,KT Corporation,Koreasat 5A,"Success
",F9 B4[,Success
45,15 December 2017,15:36,Cape Canaveral,"2,205 kg",LEO,NASA,SpaceX CRS-13,"Success
",F9 FTB1035.2227,Success
46,23 December 2017,01:27,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,Success,F9 FTB1036.2227,Controlled
47,8 January 2018,01:00,CCAFS,C,LEO,Northrop Grumman,Zuma,Success,F9 B4[,Success
48,31 January 2018,21:25,CCAFS,"4,230 kg",GTO,SES,GovSat-1,Success,F9 FTB1032.2245,Controlled
49,22 February 2018,14:17,VAFB,"2,150 kg",SSO,Hisdesat,Paz,Success,F9 FTB1038.2268,No attempt
50,6 March 2018,05:33,CCAFS,"6,092 kg",GTO,Hispasat,Hispasat 30W-6,Success,F9 B4[,No attempt
51,30 March 2018,14:14,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,Success,F9 B4B1041.2268,No attempt
52,2 April 2018,20:30,CCAFS,"2,647 kg",LEO,NASA,SpaceX CRS-14,Success,F9 B4B1039.2292,No attempt
53,18 April 2018,22:51,CCAFS,362 kg,HEO,NASA,Transiting Exoplanet Survey Satellite,Success,F9 B4[,Success
54,11 May 2018,20:14,KSC,"3,600 kg",GTO,Thales-Alenia,Bangabandhu-1,Success,F9 B5311B1046.1268,Success
55,22 May 2018,19:47,VAFB,"6,460 kg",Polar,Iridium Communications,Iridium NEXT,Success,F9 B4B1043.2322,No attempt
56,4 June 2018,04:45,CCAFS,"5,384 kg",GTO,SES,SES-12,Success,F9 B4B1040.2268,No attempt
57,29 June 2018,09:42,CCAFS,"2,697 kg",LEO,NASA,SpaceX CRS-15,Success,F9 B4B1045.2336,No attempt
58,22 July 2018,05:50,CCAFS,"7,075 kg",GTO,Telesat,Telstar 19V,Success,F9 B5,Success
59,25 July 2018,11:39,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,Success,F9 B5349B1048[,Success
60,7 August 2018,05:18,CCAFS,"5,800 kg",GTO,Telkom Indonesia,Merah Putih,Success,F9 B5B1046.2354,Success
61,10 September 2018,04:45,CCAFS,"7,060 kg",GTO,Telesat,Telstar 18V,Success,F9 B5[,Success
62,8 October 2018,02:22,VAFB,"3,000 kg",SSO,CONAE,SAOCOM 1A,Success,F9 B5B1048.2364,Success
63,15 November 2018,20:46,KSC,"5,300 kg",GTO,Es'hailSat,Es'hail 2,Success,F9 B5B1047.2268,Success
64,3 December 2018,18:34:05,VAFB,"~4,000 kg",SSO,Spaceflight Industries,SSO-A,Success,F9 B5B1046.3268,Success
65,5 December 2018,18:16,CCAFS,"2,500 kg",LEO,NASA,SpaceX CRS-16,"Success
",F9 B5[,Failure
66,23 December 2018,13:51,CCAFS,"4,400 kg",MEO,USAF,GPS III,Success,F9 B5[,No attempt
67,11 January 2019,15:31,VAFB,"9,600 kg",Polar,Iridium Communications,Iridium NEXT,"Success
",F9 B5B1049.2397,Success
68,22 February 2019,01:45,CCAFS,"4,850 kg",GTO,PSN,Nusantara Satu,"Success
",F9 B5B1048.3399,Success
69,2 March 2019,07:49,KSC,"12,055 kg",LEO,NASA,Crew Dragon Demo-1,"Success
",F9 B5[]413,Success
70,4 May 2019,06:48,CCAFS,"2,495 kg",LEO,NASA,SpaceX CRS-17,"Success
",F9 B5[,Success
71,24 May 2019,02:30,CCAFS,"13,620 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.3434,Success
72,12 June 2019,14:17,VAFB,"4,200 kg",SSO,Canadian Space Agency,RADARSAT Constellation,"Success
",F9 B5B1051.2420,Success
73,25 July 2019,22:01,CCAFS,"2,268 kg",LEO,NASA,SpaceX CRS-18,"Success
",F9 B5B1056.2465,Success
74,6 August 2019,23:23,CCAFS,"6,500 kg",GTO,Spacecom,AMOS-17,"Success
",F9 B5B1047.3472,No attempt
75,11 November 2019,14:56,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
76,5 December 2019,17:29,CCAFS,"2,617 kg",LEO,NASA,SpaceX CRS-19,"Success
",F9 B5[,Success
77,17 December 2019,00:10,CCAFS,"6,956 kg",GTO,Sky Perfect JSAT,JCSat-18,"Success
",F9 B5B1056.3482,Success
78,7 January 2020,02:19:21,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
79,19 January 2020,15:30,KSC,"12,050 kg",Sub-orbital,NASA,Crew Dragon in-flight abort test,"Success
",F9 B5,"No attempt
"
80,29 January 2020,14:07,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
81,17 February 2020,15:05,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Failure
82,7 March 2020,04:50,CCAFS,"1,977 kg",LEO,NASA,SpaceX CRS-20,"Success
",F9 B5,Success
83,18 March 2020,12:16,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Failure
84,22 April 2020,19:30,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
85,30 May 2020,19:22,KSC,"12,530 kg",LEO,NASA,Crew Dragon Demo-2,"Success
",F9 B5[,Success
86,4 June 2020,01:25,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
87,13 June 2020,09:21,CCAFS,"15,410 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
88,30 June 2020,20:10:46,CCAFS,"4,311 kg",MEO,U.S. Space Force,GPS III,"Success
",F9 B5,Success
89,20 July 2020,21:30,CCAFS,"5,000–6,000 kg",GTO,Republic of Korea Army,ANASIS-II,"Success
",F9 B5B1058.2544,Success
90,7 August 2020,05:12,KSC,"14,932 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
91,18 August 2020,14:31,CCAFS,"~15,440 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.6544,Success
92,30 August 2020,23:18,CCAFS,"3,130 kg",SSO,CONAE,SAOCOM 1B,"Success
",F9 B5,Success
93,3 September 2020,12:46:14,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.2563,Success
94,6 October 2020,11:29:34,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1058.3565,Success
95,18 October 2020,12:25:57,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.6568,Success
96,24 October 2020,15:31:34,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5,Success
97,5 November 2020,23:24:23,CCAFS,"4,311 kg",MEO,USSF,GPS III,"Success
",F9 B5,Success
98,16 November 2020,00:27,KSC,"~12,500 kg",LEO,NASA,Crew-1,"Success
",F9 B5[,Success
99,21 November 2020,17:17:08,VAFB,"1,192 kg",LEO,NASA,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5,Success
100,25 November 2020,02:13,CCAFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
101,6 December 2020,16:17:08,KSC,"2,972 kg",LEO,NASA,SpaceX CRS-21,"Success
",F9 B5 ♺[,Success
102,13 December 2020,17:30:00,CCSFS,"7,000 kg",GTO,Sirius XM,SXM-7,"Success
",F9 B5 ♺,Success
103,19 December 2020,14:00:00,KSC,C,LEO,NRO,NROL-108,"Success
",F9 B5 ♺,Success
104,8 January 2021,02:15,CCSFS,"3,500 kg",GTO,Türksat,Türksat 5A,"Success
",F9 B5,Success
105,20 January 2021,13:02,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.8609,Success
106,24 January 2021,15:00,CCSFS,"~5,000 kg",SSO,Unknown,Transporter-1,"Success
",F9 B5B1058.5613,Success
107,4 February 2021,06:19,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
108,16 February 2021,03:59:37,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Failure
109,4 March 2021,08:24,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
110,11 March 2021,08:13:29,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺[,Success
111,14 March 2021,10:01,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Success
112,24 March 2021,08:28,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.6643,Success
113,7 April 2021,16:34,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5 ♺,Success
114,23 April 2021,9:49,KSC,"~13,000 kg",LEO,NASA,Crew-2,"Success
",F9 B5B1061.2647,Success
115,29 April 2021,03:44,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1060.7652,Success
116,4 May 2021,19:01,KSC,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1049.9655,Success
117,9 May 2021,06:42,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1051.10657,Success
118,15 May 2021,22:56,KSC,"~14,000 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1058.8660,Success
119,26 May 2021,18:59,CCSFS,"15,600 kg",LEO,SpaceX,Starlink,"Success
",F9 B5B1063.2665,Success
120,3 June 2021,17:29,KSC,"3,328 kg",LEO,NASA,SpaceX CRS-22,"Success
",F9 B5B1067.1668,Success
121,6 June 2021,04:26,CCSFS,"7,000 kg",GTO,Sirius XM,SXM-8,"Success
",F9 B5,Success
